Species;Strain
RTO.TQH;1
BUT.YZE;2
BUT.YZE;2
BUT.YZE;2
BUT.YZE;2
VVJ.KSF;3
VVJ.KSF;3
VVJ.KSF;3
VVJ.KSF;3
VVJ.KSF;4
VVJ.KSF;4
VVJ.KSF;5
VVJ.KSF;5
VVJ.KSF;5
VVJ.KSF;6
VVJ.KSF;6
VVJ.KSF;7
VVJ.KSF;7
VVJ.KSF;7
VVJ.KSF;7
VVJ.KSF;7
VVJ.KSF;7
BUT.YZE;8
BUT.YZE;8
JNH.FLH;9
JNH.FLH;9
BUT.DNW;10
BUT.DNW;10
BUT.BIK;11
BUT.BIK;12
BUT.BIK;12
BUT.BIK;12
QWP.DRH;13
BUT.YZE;14
BUT.YZE;14
BUT.YZE;14
BUT.YZE;14
BUT.DNW;15
BUT.DNW;15
BUT.DNW;15
BUT.DNW;15
EMD.FZO;16
EMD.FZO;16
JNH.FLH;17
JNH.FLH;17
JNH.FLH;17
BUT.YZE;18
BUT.YZE;18
BUT.YZE;18
BUT.YZE;18
QWP.LRO;19
NYV.XSY;20
NYV.XSY;20
BUT.YZE;21
BUT.YZE;21
BUT.YZE;21
BUT.YZE;21
RTO.TQH;22
RTO.TQH;22
RTO.TQH;22
VVJ.KWJ;23
VVJ.KWJ;23
VVJ.KWJ;23
VVJ.KSF;24
VVJ.KSF;24
VVJ.KSF;24
VVJ.KSF;24
BUT.YZE;25
BUT.YZE;25
JNH.ZIJ;26
JNH.ZIJ;26
JNH.ZIJ;26
JNH.ZIJ;26
RTO.JFR;27
RTO.JFR;27
RTO.JFR;27
RTO.JFR;27
JNH.ZIJ;28
AUG.HSS;29
AUG.HSS;29
AUG.HSS;29
JNH.ZIJ;30
JNH.ZIJ;30
QWP.DRH;31
QWP.DRH;31
QWP.DRH;31
QWP.DRH;31
QWP.LRO;32
QWP.LRO;33
QWP.LRO;33
QWP.LRO;34
QWP.LRO;34
QWP.LRO;34
BUT.YZE;35
BUT.YZE;35
BUT.YZE;35
QBG.CRP;36
QBG.CRP;36
NYV.XSY;37
BUT.BIK;38
BUT.BIK;38
BUT.DNW;39
BUT.DNW;39
EMD.WXC;40
EMD.WXC;40
JNH.ZIJ;41
JNH.ZIJ;41
JNH.ZIJ;41
JNH.ZIJ;41
EMD.FZO;42
EMD.FZO;42
EMD.FZO;42
AUG.AEX;43
AUG.AEX;43
AUG.AEX;43
QWP.DRH;44
QWP.DRH;44
QWP.DRH;44
QBG.CRP;45
QBG.CRP;45
QBG.CRP;46
QBG.CRP;46
AUG.AEX;47
AUG.AEX;47
AUG.AEX;47
AUG.AEX;47
AUG.HSS;48
AUG.HSS;48
AUG.AEX;49
AUG.AEX;49
AUG.AEX;49
AUG.AEX;49
AUG.AEX;49
BUT.TRH;50
BUT.TRH;50
NYV.VCE;51
NYV.VCE;51
NYV.VCE;51
NYV.VCE;51
NYV.VCE;52
NYV.VCE;52
NYV.VCE;52
NYV.VCE;52
AUG.AEX;53
AUG.AEX;53
AUG.AEX;53
NYV.VCE;54
NYV.VCE;54
NYV.VCE;54
AUG.AEX;55
AUG.AEX;55
NYV.VCE;56
NYV.VCE;56
NYV.VCE;56
NYV.VCE;56
VVJ.KWJ;57
VVJ.KWJ;57
VVJ.KWJ;57
VVJ.KWJ;57
VVJ.KWJ;58
VVJ.KWJ;58
VVJ.KWJ;58
VVJ.KSF;59
VVJ.KSF;59
VVJ.KSF;59
VVJ.KSF;59
QBG.CRP;60
BUT.YZE;61
NYV.VCE;62
NYV.VCE;62
NYV.VCE;62
NYV.VCE;62
NYV.VCE;63
NYV.VCE;63
NYV.VCE;63
NYV.VCE;63
NYV.VCE;64
NYV.VCE;64
QBG.CRP;65
JNH.ZIJ;66
JNH.ZIJ;66
JNH.ZIJ;66
JNH.ZIJ;66
JNH.ZIJ;66
JNH.ZIJ;66
AUG.AEX;67
AUG.AEX;67
AUG.AEX;68
AUG.AEX;68
AUG.AEX;69
AUG.AEX;69
AUG.AEX;69
AUG.AEX;69
AUG.HSS;70
AUG.HSS;70
AUG.HSS;70
AUG.HSS;71
AUG.HSS;72
AUG.HSS;72
AUG.HSS;72
AUG.HSS;73
AUG.HSS;73
AUG.HSS;73
AUG.AEX;74
AUG.AEX;74
AUG.AEX;74
AUG.AEX;74
AUG.AEX;75
AUG.AEX;75
NYV.VCE;76
NYV.VCE;76
NYV.VCE;76
NYV.VCE;76
NYV.VCE;77
NYV.VCE;77
NYV.VCE;77
NYV.VCE;77
AUG.AEX;78
AUG.AEX;78
QWP.DRH;79
QBG.KGI;80
QBG.KGI;80
QBG.KGI;81
QBG.KGI;82
QBG.KGI;82
QBG.KGI;83
QBG.KGI;83
BUT.TRH;84
BUT.TRH;84
BUT.TRH;84
BUT.TRH;84
JNH.FLH;85
QWP.LRO;86
QWP.LRO;87
BUT.YZE;88
BUT.YZE;88
BUT.YZE;88
BUT.YZE;88
BUT.YZE;89
BUT.YZE;89
BUT.YZE;89
BUT.YZE;90
BUT.YZE;90
BUT.YZE;90
BUT.YZE;90
BUT.DNW;91
BUT.DNW;91
BUT.TRH;92
BUT.TRH;92
BUT.TRH;92
BUT.BIK;93
BUT.BIK;94
BUT.BIK;94
NYV.VCE;95
NYV.VCE;95
NYV.VCE;95
EMD.WXC;96
EMD.WXC;96
JNH.FLH;97
JNH.FLH;97
BUT.TRH;98
BUT.TRH;98
BUT.TRH;98
RTO.JFR;99
RTO.JFR;99
RTO.JFR;99
BUT.DNW;100
BUT.DNW;100
BUT.DNW;100
BUT.DNW;100
RTO.JFR;101
RTO.JFR;101
RTO.JFR;102
RTO.JFR;102
RTO.JFR;102
RTO.TQH;103
AUG.HSS;104
AUG.HSS;104
BUT.TRH;105
BUT.TRH;105
BUT.TRH;105
BUT.TRH;105
BUT.YZE;106
BUT.YZE;106
RTO.TQH;107
RTO.TQH;107
RTO.TQH;107
RTO.TQH;107
RTO.TQH;108
RTO.TQH;108
AUG.AEX;109
AUG.AEX;109
AUG.HSS;110
AUG.HSS;110
JNH.ZIJ;111
JNH.ZIJ;111
EMD.FZO;112
EMD.FZO;112
VVJ.KWJ;113
VVJ.KWJ;113
VVJ.KWJ;113
VVJ.KWJ;113
VVJ.KSF;114
VVJ.KSF;114
EMD.WXC;115
EMD.WXC;115
EMD.WXC;115
BUT.BIK;116
BUT.BIK;116
VVJ.KSF;117
VVJ.KSF;117
QWP.DRH;118
QWP.DRH;118
NYV.XSY;119
NYV.XSY;119
RTO.TQH;120
RTO.TQH;120
RTO.TQH;120
RTO.TQH;120
EMD.WXC;121
EMD.WXC;121
BUT.YZE;122
BUT.YZE;122
AUG.AEX;123
AUG.AEX;123
AUG.AEX;123
AUG.HSS;124
AUG.HSS;124
VVJ.KWJ;125
VVJ.KWJ;125
VVJ.KWJ;125
NYV.XSY;126
NYV.XSY;126
NYV.XSY;126
NYV.XSY;126
NYV.XSY;126
NYV.XSY;126
QWP.DRH;127
QWP.DRH;127
BUT.YZE;128
EMD.FZO;129
EMD.FZO;129
QBG.KGI;130
QBG.CRP;131
QBG.CRP;131
QBG.CRP;131
QBG.CRP;131
QBG.KGI;132
QBG.KGI;132
QBG.KGI;133
QBG.KGI;133
QBG.KGI;134
QBG.KGI;134
EMD.WXC;135
EMD.FZO;136
EMD.FZO;136
EMD.FZO;136
BUT.YZE;137
BUT.YZE;137
BUT.YZE;137
BUT.YZE;137
EMD.FZO;138
EMD.FZO;138
EMD.FZO;138
EMD.FZO;138
BUT.BIK;139
BUT.BIK;139
BUT.BIK;139
BUT.TRH;140
BUT.TRH;140
BUT.TRH;140
EMD.FZO;141
EMD.FZO;141
EMD.FZO;141
EMD.FZO;141
BUT.YZE;142
BUT.YZE;142
BUT.YZE;143
BUT.YZE;143
QWP.DRH;144
QWP.DRH;144
QWP.DRH;144
EMD.FZO;145
EMD.FZO;145
EMD.FZO;145
EMD.FZO;145
VVJ.KWJ;146
VVJ.KWJ;146
NYV.VCE;147
NYV.VCE;147
NYV.VCE;147
BUT.DNW;148
BUT.DNW;148
BUT.DNW;148
EMD.WXC;149
QWP.DRH;150
QWP.DRH;150
QWP.DRH;150
QWP.DRH;150
NYV.XSY;151
NYV.XSY;151
VVJ.KWJ;152
EMD.WXC;153
EMD.WXC;153
RTO.JFR;154
RTO.JFR;154
RTO.JFR;154
RTO.JFR;154
AUG.AEX;155
AUG.AEX;155
AUG.AEX;155
AUG.AEX;155
JNH.ZIJ;156
JNH.ZIJ;156
BUT.TRH;157
BUT.TRH;157
BUT.TRH;157
BUT.TRH;157
BUT.BIK;158
BUT.BIK;158
BUT.BIK;158
BUT.TRH;159
EMD.WXC;160
EMD.WXC;161
EMD.WXC;161
EMD.WXC;161
EMD.WXC;161
RTO.JFR;162
RTO.JFR;162
JNH.FLH;163
JNH.FLH;163
JNH.FLH;163
QWP.DRH;164
QWP.DRH;164
QWP.DRH;164
QWP.DRH;164
NYV.XSY;165
NYV.XSY;165
NYV.XSY;166
RTO.JFR;167
RTO.JFR;167
RTO.TQH;168
RTO.TQH;168
RTO.TQH;168
RTO.TQH;168
BUT.YZE;169
BUT.YZE;169
BUT.YZE;169
BUT.YZE;169
NYV.VCE;170
BUT.BIK;171
BUT.DNW;172
BUT.DNW;172
BUT.DNW;172
BUT.DNW;172
BUT.TRH;173
BUT.TRH;173
BUT.TRH;173
BUT.TRH;173
NYV.XSY;174
NYV.XSY;174
NYV.XSY;174
NYV.XSY;174
NYV.VCE;175
NYV.VCE;175
BUT.TRH;176
BUT.TRH;176
BUT.TRH;176
EMD.WXC;177
EMD.WXC;177
BUT.DNW;178
BUT.DNW;178
BUT.DNW;178
BUT.DNW;178
AUG.AEX;179
AUG.AEX;179
AUG.AEX;180
AUG.AEX;180
AUG.AEX;181
AUG.AEX;181
AUG.AEX;182
AUG.AEX;182
RTO.JFR;183
RTO.JFR;183
RTO.TQH;184
RTO.TQH;184
RTO.TQH;184
VVJ.KWJ;185
VVJ.KWJ;185
VVJ.KWJ;185
VVJ.KWJ;186
VVJ.KWJ;186
VVJ.KWJ;186
VVJ.KWJ;186
JNH.FLH;187
JNH.FLH;187
NYV.XSY;188
NYV.XSY;188
NYV.XSY;188
NYV.XSY;188
NYV.XSY;188
NYV.XSY;188
NYV.VCE;189
NYV.VCE;189
NYV.VCE;189
NYV.VCE;189
JNH.ZIJ;190
JNH.ZIJ;190
JNH.ZIJ;190
JNH.FLH;191
JNH.FLH;191
JNH.FLH;191
JNH.FLH;191
BUT.DNW;192
BUT.DNW;192
EMD.FZO;193
NYV.XSY;194
NYV.XSY;194
NYV.XSY;194
EMD.FZO;195
EMD.FZO;195
RTO.TQH;196
RTO.TQH;196
RTO.JFR;197
RTO.JFR;197
JNH.FLH;198
JNH.FLH;198
JNH.FLH;198
JNH.FLH;198
JNH.FLH;198
BUT.YZE;199
BUT.YZE;199
BUT.YZE;199
BUT.YZE;199
BUT.YZE;200
BUT.YZE;200
BUT.YZE;200
BUT.YZE;200
NYV.VCE;201
NYV.VCE;201
NYV.VCE;202
NYV.VCE;202
NYV.VCE;202
NYV.VCE;202
RTO.JFR;203
RTO.JFR;203
QWP.LRO;204
QWP.LRO;205
JNH.FLH;206
JNH.FLH;206
JNH.FLH;206
JNH.FLH;206
QWP.DRH;207
QWP.DRH;207
JNH.FLH;208
JNH.FLH;208
JNH.ZIJ;209
JNH.ZIJ;209
QBG.KGI;210
QBG.KGI;210
BUT.DNW;211
BUT.DNW;211
BUT.DNW;211
BUT.DNW;211
BUT.DNW;211
VVJ.KWJ;212
VVJ.KWJ;212
VVJ.KWJ;212
VVJ.KWJ;212
QBG.CRP;213
QBG.CRP;213
